Numero;Data;Jogo;Resultado;Premio
18;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 2.216,00
18;27-08-2023 16:00;Botafogo-RJ - Bahia;Botafogo-RJ;R$ 2.216,00
18;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
18;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
18;27-08-2023 16:00;América-MG - São Paulo;Empate;R$ 2.216,00
19;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 2.216,00
19;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
19;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
19;27-08-2023 16:00;América-MG - São Paulo;Empate;R$ 2.216,00
19;27-08-2023 16:00;Botafogo-RJ - Bahia;Empate;R$ 2.216,00
20;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 2.216,00
20;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
20;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
20;27-08-2023 16:00;Botafogo-RJ - Bahia;Empate;R$ 2.216,00
20;27-08-2023 16:00;América-MG - São Paulo;São Paulo;R$ 2.216,00
21;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
21;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
21;27-08-2023 16:00;Botafogo-RJ - Bahia;Empate;R$ 2.216,00
21;27-08-2023 16:00;América-MG - São Paulo;São Paulo;R$ 2.216,00
21;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 2.216,00
22;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
22;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
22;27-08-2023 16:00;América-MG - São Paulo;São Paulo;R$ 2.216,00
22;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 2.216,00
22;27-08-2023 16:00;Botafogo-RJ - Bahia;Botafogo-RJ;R$ 2.216,00
23;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
23;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
23;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 2.216,00
23;27-08-2023 16:00;Botafogo-RJ - Bahia;Botafogo-RJ;R$ 2.216,00
23;27-08-2023 16:00;América-MG - São Paulo;Empate;R$ 2.216,00
24;27-08-2023 16:00;Atlético-MG - Santos;Atlético-MG;R$ 2.216,00
24;27-08-2023 18:30;Palmeiras - Vasco da Gama;Palmeiras;R$ 2.216,00
24;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 2.216,00
24;27-08-2023 16:00;América-MG - São Paulo;Empate;R$ 2.216,00
24;27-08-2023 16:00;Botafogo-RJ - Bahia;Empate;R$ 2.216,00
